sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.25,19,A2,0.04107737189789007,0.034422769891844264,0.06654602006045807,0.12168888599680494,1.1859588212783236,0.0
0.25,20,A2,0.05410443483807465,0.047179474260616486,0.06924960577458167,0.16724333071768974,1.1588974698072652,0.0
0.25,21,A2,0.04006136008290171,0.0334980199496022,0.06563340133299513,0.13818677787257835,1.1942126142991472,0.0
0.25,22,A2,0.03891101130060763,0.03285735802058914,0.060536532800184936,0.13236225826665954,1.1701283253407342,0.0
0.25,23,A2,0.02921863551405761,0.023586831277620124,0.05631804236437486,0.10317040281773056,1.1370671584299534,0.0
0.25,24,A2,0.04231379108460389,0.03563364772070668,0.06680143363897212,0.12767004427676912,1.1454284105504748,0.0
0.25,25,A2,0.02993545576761284,0.023796968402065802,0.061384873655470365,0.10141059245115985,1.1430363423295467,0.0
0.25,26,A2,0.04819180926566585,0.040953549710697666,0.07238259554968188,0.13154702019793563,1.1432862543626932,0.0
0.25,27,A2,0.036503852578203,0.030224781810701117,0.06279070767501888,0.1184197696847084,1.149112982629171,0.0
0.25,28,A2,0.03721253796130289,0.030950468429814745,0.06262069531488142,0.11504901406444719,1.1127857432984574,0.0
0.25,29,A2,0.03506349174194679,0.029196361648503068,0.05867130093443721,0.1230154064873591,1.1135535563630927,0.0
0.25,0,A3,0.038239714591219276,0.030102710427748026,0.0813700416347125,0.8817899626026423,1.1312470086210558,0.0
0.25,1,A3,0.03302142925318895,0.02557747700803785,0.07443952245151095,0.8599900303928161,1.1190997466721344,0.0
0.25,2,A3,0.033132416326416905,0.025744168351056942,0.0738824797535996,0.8910034108002683,1.1448862134488467,0.0
0.25,3,A3,0.03881949619408626,0.031382404787063195,0.0743709140702307,0.8363033722264285,1.1452660643522632,0.0
0.25,4,A3,0.04606078032901699,0.03817787871225502,0.07882901616761973,0.8212494033174278,1.210606911692386,0.0
0.25,5,A3,0.030916988208897534,0.02361008189220055,0.07306906316696982,0.8926887818454702,1.1267138815095639,0.0
0.25,6,A3,0.02418015176425927,0.017803967031613476,0.06376184732645794,0.9481445505964973,1.1077122189502744,0.0
0.25,7,A3,0.03173176712477602,0.02472296663817817,0.07008800486597846,0.8985243603419464,1.0479053701926282,0.0
0.25,8,A3,0.022393945490448368,0.015409447181506674,0.06984498308941696,0.9620833099482131,1.1036666833949553,0.0
0.25,9,A3,0.04410602932052409,0.036304136092183956,0.07801893228340134,0.8001623862443527,1.1723959001743716,0.0
0.25,10,A3,0.043965626142259726,0.036150551077651735,0.07815075064607988,0.8067088142680349,1.1841319813029803,0.0
0.25,11,A3,0.03361311998736864,0.026103145568546232,0.07509974418822411,0.8881614764518427,1.1273763962322558,0.0
0.25,12,A3,0.022434014733977284,0.01597941994132943,0.06454594792647854,0.9250464355431819,1.0937176222311296,0.0
0.25,13,A3,0.04342573222969348,0.035595612279699186,0.07830119949994294,0.8356616135557003,1.1693799512150835,0.0
0.25,14,A3,0.042389513663898426,0.03403991081229652,0.083496028516019,0.840247708156051,1.1124527022497062,0.0
0.25,15,A3,0.05109595226767941,0.04311918676715961,0.07976765500519804,0.7910678387542238,1.1937816781511081,0.0
0.25,16,A3,0.032519410546762134,0.02520683457747898,0.07312575969283153,0.8927134752301894,1.1138668429826655,0.0
0.25,17,A3,0.041036511077543004,0.033729300843909724,0.07307210233633278,0.8210942705666525,1.10310615383127,0.0
0.25,18,A3,0.04341798854142772,0.03541191705849699,0.08006071482930725,0.8322905720084355,1.1181701821682601,0.0
0.25,19,A3,0.03546027424099209,0.027895561500564346,0.07564712740427741,0.8885679478127655,1.1660978252234053,0.0
0.25,20,A3,0.0486221585133214,0.04094153917936848,0.07680619333952919,0.7977567257241607,1.1609790540792382,0.0
0.25,21,A3,0.032559398259817754,0.02524825867869682,0.07311139581120936,0.8937814978608933,1.1555459860456052,0.0
0.25,22,A3,0.03361658673387445,0.026762689701633202,0.0685389703224125,0.8890301060935157,1.1327706418948382,0.0
0.25,23,A3,0.023549772336158473,0.01717519580267399,0.06374576533484481,0.9224647431728038,1.1106553332669833,0.0
0.25,24,A3,0.03657665004627518,0.02909616624307968,0.074804838031955,0.8693831498215655,1.1186739502571255,0.0
0.25,25,A3,0.024245578540204784,0.017087759818617425,0.07157818721587358,0.9556206692893703,1.1140335771907721,0.0
0.25,26,A3,0.04062269021427221,0.032365793135045076,0.08256897079227128,0.8184623447892663,1.1182377617866137,0.0
0.25,27,A3,0.03199787224897655,0.02487838933792448,0.07119482911052072,0.8946304053926929,1.1114060410199402,0.0
0.25,28,A3,0.03258691452457141,0.025354335301328256,0.07232579223243153,0.9365307260449566,1.0628056246773312,0.0
0.25,29,A3,0.03147920726879725,0.02485615966660617,0.06623047602191079,0.8850058236179141,1.1078387812591446,0.0
0.5,0,R,0.04483244296530671,0.03798422115610971,0.06848221809197004,nan,nan,nan
0.5,1,R,0.041145828975504506,0.034634011473765124,0.06511817501739382,nan,nan,nan
0.5,2,R,0.03986176818591134,0.033490226715996954,0.06371541469914387,nan,nan,nan
0.5,3,R,0.04495909504809696,0.038462952016899435,0.0649614303119753,nan,nan,nan
0.5,4,R,0.05042596460707471,0.04364988172357114,0.06776082883503563,nan,nan,nan
0.5,5,R,0.03812105870022789,0.03182442481522021,0.06296633885007683,nan,nan,nan
0.5,6,R,0.027869493728371254,0.022249117766953735,0.05620375961417519,nan,nan,nan
0.5,7,R,0.037164715536556585,0.031203520822968903,0.05961194713587678,nan,nan,nan
0.5,8,R,0.027577437490985415,0.021590289360321337,0.059871481306640766,nan,nan,nan
0.5,9,R,0.05260628970114343,0.04580240684958923,0.06803882851554198,nan,nan,nan
0.5,10,R,0.05067620214350274,0.04389321438924065,0.0678298775426209,nan,nan,nan
0.5,11,R,0.04027127474881056,0.033777125630780974,0.06494149118029581,nan,nan,nan
0.5,12,R,0.027399494615225697,0.0216830124924901,0.057164821227355986,nan,nan,nan
0.5,13,R,0.05099587425415718,0.04429101526199222,0.06704858992164953,nan,nan,nan
0.5,14,R,0.052816308102548455,0.04562121411189365,0.07195093990654809,nan,nan,nan
0.5,15,R,0.05707777344859655,0.05015830002349357,0.06919473425102977,nan,nan,nan
0.5,16,R,0.03961635221512756,0.03339179746509815,0.06224554750029415,nan,nan,nan
0.5,17,R,0.0475937136367703,0.04118537334776854,0.0640834028900176,nan,nan,nan
0.5,18,R,0.05040803612579068,0.04346635497850177,0.06941681147288908,nan,nan,nan
0.5,19,R,0.04232884562591614,0.035782909561117265,0.0654593606479888,nan,nan,nan
0.5,20,R,0.05551970095641656,0.04878146359376114,0.06738237362655423,nan,nan,nan
0.5,21,R,0.04113496791265125,0.034680287046359656,0.0645468086629159,nan,nan,nan
0.5,22,R,0.03986422594078809,0.033927718851900365,0.05936507088887725,nan,nan,nan
